expert_uuid	is_active	created_date	modified_date
445951e3-5d02-43ce-80b4-eb42c924b09e	1	2023-06-13 00:23:20	2023-06-13 00:23:20
38ea38be-e66e-4eaa-bf38-f6dc8d506543	1	2023-06-13 00:23:20	2023-06-13 00:23:20
53564474-9863-4a30-a217-64fb1e04b588	0	2023-06-13 00:23:20	2023-07-20 13:48:31
0e8ae931-9381-4951-8b2c-86f113a819c2	1	2023-06-13 00:23:20	2023-06-13 00:23:20
84054715-1ed7-4cc2-b4ae-2eab7f0fe612	1	2023-06-13 00:23:20	2023-06-13 00:23:20
364ea06e-1875-489b-834b-d2723e257bd0	1	2023-06-13 00:23:20	2023-07-21 08:43:19
0c71fc85-9ab2-47f1-8ba2-d8da78eaac2b	1	2023-06-13 00:23:20	2023-06-13 00:23:20
242511eb-6f85-4062-a3c0-47e852d9648b	1	2023-06-13 00:23:20	2023-06-13 22:20:13
7324129d-50ca-4dc0-90fb-c1bc60fae279	1	2023-06-13 00:23:20	2023-07-21 08:43:08
d4af7df4-6ef8-4658-83b9-c7f025d91f63	1	2023-06-13 00:23:20	2023-06-13 00:23:20
69c7e647-4621-4bc5-a192-4d5b0af25236	0	2023-06-13 00:23:20	2023-07-20 13:48:42
f7c80802-faab-47fe-8135-ac13074b647f	0	2023-06-13 00:23:20	2023-07-20 13:48:54
38f0ddbc-e4dd-494b-ae8d-8a7d884146f3	1	2023-06-13 00:23:20	2023-07-21 08:43:13
4eefea01-007f-4bb5-9ee5-4cbe6a2dd832	1	2023-06-13 00:23:20	2023-06-13 00:23:20
26450887-4c05-49fa-b6d6-a08bf5bd3da9	0	2023-06-13 00:23:20	2023-07-20 13:47:55
00a38b1e-3fac-476c-a74f-55ec518f0fa7	1	2023-06-13 00:23:20	2023-07-21 08:43:13
f61e8d88-eb77-49a7-850a-5c44ee070fa0	1	2023-06-13 00:23:20	2023-06-13 00:23:20
b998e6f0-7d4c-466a-80e5-9e38c8b57a63	1	2023-06-13 00:23:20	2023-07-21 08:43:16
9678d5fd-3b38-44b6-ba80-712b56cda37a	0	2023-06-13 00:23:20	2023-07-20 13:44:05
dec23439-7748-463b-96aa-2b2666d19366	0	2023-06-13 00:23:20	2023-07-20 13:45:34
082bd9d7-916a-435b-a168-3dd49ee96159	1	2023-06-13 00:23:20	2023-07-21 08:43:21
1b293cb7-3450-492d-9e98-48e423aff2bd	0	2023-06-13 00:23:20	2023-07-20 13:48:58
e6b3ee3b-cdb3-4cac-8bc5-e5dd92928dc1	0	2023-06-13 00:23:20	2023-07-20 13:48:59
e405bfa4-f20e-46d1-a557-a9e3a1a80e14	0	2023-06-13 00:23:20	2023-07-20 13:48:54
